code_name,ui_message
choose_language,Wybierz jezyk
ENG,Angielski
PL,Polski
menu,MENU GLOWNE
choose_action,Wybierz akcje
main_menu_buy_a_ticket,Kup bilet
main_menu_check_status,Sprawdz status swojego biletu
main_menu_recharge_ticket,Doladuj/Przedluz waznosc swojego biletu
main_menu_change_language,Zmien jezyk
buy_short_term_ticket,Kup bilet krotkoterminowy
buy_long_term_ticket,Kup bilet dlugoterminowy
use_prepaid,Skorzystaj z biletu prepaid
check_status,Sprawdz status biletu dlugoterminowego
check_balance,Sprawdz srodki na bilecie prepaid
recharge_time_ticket,Przedluz bilet dlugoterminowy
recharge_prepaid_ticket,Doladuj bilet prepaid
ticket_type,Rodzaj biletu
ticket_price,Cena (zl)
ticket_value,Kwota (zl)
choose_ticket_type,Wybierz rodzaj biletu
20_min_reduced,Bilet 20-minutowy ulgowy
20_min_standard,Bilet 20-minutowy normalny
75_min_reduced,Bilet 75-minutowy ulgowy
75_min_standard,Bilet 75-minutowy normalny
90_min_reduced,Bilet 90-minutowy ulgowy
90_min_standard,Bilet 90-minutowy normalny
30_day_reduced,Bilet 30-dniowy ulgowy
30_day_standard,Bilet 30-dniowy normalny
90_day_reduced,Bilet 90-dniowy ulgowy
90_day_standard,Bilet 90-dniowy normalny
enter_id,Podaj id biletu
days_left,Pozostalo dni
will_expire,Bilet wygasnie
ticket_expired,Bilet wygasl
prolong_long_term_ticket,Doladuj bilet dlugoterminowy
ticket_prolonged,Bilet zostal przedluzony
cannot_prolong,Za wczesnie zeby przedluzyc bilet. Bilet mozna przedluzyc gdy zostalo dni
ticket_bought,Zakupiono bilet
buy_prepaid,Kup bilet prepaid
choose_value,Wybierz kwote
show_balance,Pozostale srodki
currency,zl
recharged,Doladowano bilet
balance_too_low,Za malo srodkow aby kupic ten bilet
show_id,Id twojego biletu to
TICKET_MACHINE,B I L E T O M A T
start,Rozpocznij
quit,Zakoncz
controls,Nacisnij Ctrl+C aby zakonczyc
error,Przepraszamy wystapil blad. Zostal zgloszony do obslugi technicznej.
